SCHOOL_ENROLLMENT_ID,CENSUS_YEAR,CENSUS_SUBDIVISION_ID,SCHOOL_NAME,SCHOOL_DISTRICT,ELEMENTARY_SCHOOL_ENROLLMENT,SECONDARY_SCHOOL_ENROLLMENT,SCHOOL_YEAR_PERIOD,DATA_PUBLICATION_YEAR,LATITUDE,LONGITUDE
239,2016,5903050,Arrow Lakes Distributed Learning,Arrow Lakes,20,18,2016/2017,2017,50.239167,-117.7975
240,2016,5903050,Burton Academy School,Arrow Lakes,0,11,2016/2017,2017,50.239167,-117.7975
241,2016,5903060,Edgewood Elementary,Arrow Lakes,19,0,2016/2017,2017,49.780833,-118.143056
242,2016,5903032,Lucerne Elem-Secondary,Arrow Lakes,53,25,2016/2017,2017,49.991389,-117.377222
243,2016,5903050,Nakusp Elementary,Arrow Lakes,164,0,2016/2017,2017,50.239167,-117.7975
244,2016,5903050,Nakusp Secondary,Arrow Lakes,0,147,2016/2017,2017,50.239167,-117.7975
245,2016,5939019,Arrow Heights Elementary,Revelstoke,134,0,2016/2017,2017,50.976789,-118.178185
246,2016,5939019,Begbie View Elementary,Revelstoke,259,0,2016/2017,2017,50.997342,-118.197379
247,2016,5939019,Columbia Park Elementary,Revelstoke,198,0,2016/2017,2017,51.015076,-118.219142
248,2016,5939019,Revelstoke Secondary,Revelstoke,0,383,2016/2017,2017,50.99152,-118.197553
249,2016,5903045,Continuing Ed SD 20,Kootenay-Columbia,0,4,2016/2017,2017,49.322379,-117.659537
250,2016,5905005,Fruitvale Elementary,Kootenay-Columbia,343,0,2016/2017,2017,49.111524,-117.544286
251,2016,5905014,Glenmerry Elementary,Kootenay-Columbia,376,0,2016/2017,2017,49.098802,-117.661316
252,2016,5905014,J Lloyd Crowe Secondary,Kootenay-Columbia,0,796,2016/2017,2017,49.10294,-117.699018
253,2016,5905018,James L Webster Elementary,Kootenay-Columbia,272,0,2016/2017,2017,49.095372,-117.745006
254,2016,5903045,Kinnaird Elementary,Kootenay-Columbia,329,0,2016/2017,2017,49.288651,-117.654428
255,2016,5905014,Kootenay-Columbia Learning Centre,Kootenay-Columbia,4,88,2016/2017,2017,49.097067,-117.694873
256,2016,5903058,Robson Community School,Kootenay-Columbia,169,0,2016/2017,2017,49.334445,-117.691389
257,2016,5905023,Rossland Summit School,Kootenay-Columbia,345,51,2016/2017,2017,49.080751,-117.799781
258,2016,5905014,St Michael's Elementary,Kootenay-Columbia,161,0,2016/2017,2017,49.101529,-117.701965
259,2016,5903045,Stanley Humphries Secondary,Kootenay-Columbia,0,556,2016/2017,2017,49.319958,-117.6597
260,2016,5903045,Twin Rivers Elementary,Kootenay-Columbia,428,0,2016/2017,2017,49.321396,-117.659565
261,2016,5937014,Alexis Park Elementary,Vernon,298,0,2016/2017,2017,50.27349,-119.279691
262,2016,5937014,Alternative Learning Program,Vernon,0,43,2016/2017,2017,50.251843,-119.251101
263,2016,5937021,B X Elementary,Vernon,401,0,2016/2017,2017,50.2903,-119.223321
264,2016,5937014,Beairsto Elementary,Vernon,605,0,2016/2017,2017,50.266041,-119.266706
265,2016,5937005,Charles Bloom Elementary Secondary,Vernon,61,289,2016/2017,2017,50.250833,-118.961944
266,2016,5937023,Cherryville Elementary,Vernon,71,0,2016/2017,2017,50.244292,-118.615152
267,2016,5937014,Clarence Fulton Secondary,Vernon,0,646,2016/2017,2017,50.247889,-119.308803
268,2016,5937010,Coldstream Elementary,Vernon,407,0,2016/2017,2017,50.22361,-119.233198
269,2016,5937014,Continuing Ed SD 22,Vernon,0,26,2016/2017,2017,50.26297,-119.269034
270,2016,5937005,Crossroads Alternate School,Vernon,0,10,2016/2017,2017,50.250833,-118.961944
271,2016,5937014,Ellison Elementary,Vernon,344,0,2016/2017,2017,50.266667,-119.271667
272,2016,5937014,Harwood Elementary,Vernon,417,0,2016/2017,2017,50.276049,-119.258532
273,2016,5937021,Hillview Elementary,Vernon,358,0,2016/2017,2017,50.254407,-119.236744
274,2016,5937005,J W Inglis Elementary,Vernon,320,0,2016/2017,2017,50.252619,-118.96687
275,2016,5937010,Kalamalka Secondary,Vernon,0,511,2016/2017,2017,50.224488,-119.248156
276,2016,5937010,Kidston Elementary,Vernon,277,0,2016/2017,2017,50.222504,-119.258166
