Macrotrends Data Download

Vancouver, Canada Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,556000
1951-12-31,562000,1.08
1952-12-31,569000,1.25
1953-12-31,575000,1.05
1954-12-31,581000,1.04
1955-12-31,588000,1.2
1956-12-31,594000,1.02
1957-12-31,600000,1.01
1958-12-31,607000,1.17
1959-12-31,614000,1.15
1960-12-31,620000,0.98
1961-12-31,630000,1.61
1962-12-31,676000,7.3
1963-12-31,726000,7.4
1964-12-31,779000,7.3
1965-12-31,836000,7.32
1966-12-31,895000,7.06
1967-12-31,930000,3.91
1968-12-31,967000,3.98
1969-12-31,1005000,3.93
1970-12-31,1045000,3.98
1971-12-31,1084000,3.73
1972-12-31,1100000,1.48
1973-12-31,1117000,1.55
1974-12-31,1133000,1.43
1975-12-31,1150000,1.5
1976-12-31,1168000,1.57
1977-12-31,1187000,1.63
1978-12-31,1207000,1.68
1979-12-31,1227000,1.66
1980-12-31,1247000,1.63
1981-12-31,1268000,1.68
1982-12-31,1290000,1.74
1983-12-31,1313000,1.78
1984-12-31,1336000,1.75
1985-12-31,1359000,1.72
1986-12-31,1384000,1.84
1987-12-31,1426000,3.03
1988-12-31,1469000,3.02
1989-12-31,1513000,3
1990-12-31,1559000,3.04
1991-12-31,1606000,3.01
1992-12-31,1650000,2.74
1993-12-31,1695000,2.73
1994-12-31,1741000,2.71
1995-12-31,1789000,2.76
1996-12-31,1836000,2.63
1997-12-31,1866000,1.63
1998-12-31,1896000,1.61
1999-12-31,1927000,1.64
2000-12-31,1959000,1.66
2001-12-31,1990000,1.58
2002-12-31,2015000,1.26
2003-12-31,2041000,1.29
2004-12-31,2067000,1.27
2005-12-31,2093000,1.26
2006-12-31,2121000,1.34
2007-12-31,2160000,1.84
2008-12-31,2198000,1.76
2009-12-31,2238000,1.82
2010-12-31,2278000,1.79
2011-12-31,2317000,1.71
2012-12-31,2347000,1.29
2013-12-31,2376000,1.24
2014-12-31,2407000,1.3
2015-12-31,2437000,1.25
2016-12-31,2468000,1.27
2017-12-31,2499000,1.26
2018-12-31,2531000,1.28
2019-12-31,2556000,0.99
2020-12-31,2581000,0.98
2021-12-31,2606000,0.97
2022-12-31,2632000,1
2023-12-31,2657000,0.95
2024-12-31,2683000,0.98
2025-12-31,2708000,0.93
2026-12-31,2733000,0.92
2027-12-31,2759000,0.95
2028-12-31,2784000,0.91
2029-12-31,2809000,0.9
2030-12-31,2834000,0.89
2031-12-31,2859000,0.88
2032-12-31,2884000,0.87
2033-12-31,2909000,0.87
2034-12-31,2933000,0.83
2035-12-31,2957000,0.82
