"","School District","Year","Gender","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90+","Total"
"39","Vancouver","1986","T","5011","17839","20077","20253","27240","46587","51326","44897","38387","27356","23162","22804","23774","22833","20195","18197","13488","8628","4628","2627","459309"
"39","Vancouver","1987","T","4989","19052","20482","20089","27059","44208","51768","45656","39546","29560","23519","22498","23714","22806","20049","18029","14052","8963","4822","2622","463483"
"39","Vancouver","1988","T","5085","19539","21428","20349","27772","43586","53018","46914","40495","31635","24231","22245","23463","22710","20114","17440","14052","9281","4741","2592","470690"
"39","Vancouver","1989","T","5372","19698","22110","20867","27594","43601","54613","48123","41650","34052","25189","22280","23071","22414","20071","16692","14185","9328","4719","2618","478247"
"39","Vancouver","1990","T","5144","19330","22385","21321","26644","44048","55664","49549","42537","36896","26219","22651","22444","22023","19762","16386","14278","9372","4767","2569","483989"
"39","Vancouver","1991","T","5359","19430","22561","22072","25678","44248","56661","50915","43424","39418","27653","23322","21906","21493","19877","16720","14151","9388","4923","2585","491784"
"39","Vancouver","1992","T","5251","20435","23102","22591","26374","43759","56353","52589","44588","40408","30423","23837","21848","22047","18881","16855","14130","9835","5055","2684","501045"
"39","Vancouver","1993","T","5571","20453","23413","22858","26566","43255","55914","54010","45609","40926","32526","24327","21744","22108","18874","16921","13610","9851","5228","2618","506382"
"39","Vancouver","1994","T","5582","20167","23981","23371","27276","43750","56495","56159","46751","41904","35198","25436","22168","22263","18972","17338","13110","10057","5350","2648","517976"
"39","Vancouver","1995","T","5778","20096","23902","23872","27802","43758","58140","57899","48333","42983","38125","26538","22870","22192","19292","17204","13041","10087","5388","2636","529936"
"39","Vancouver","1996","T","5680","20140","23851","24690","29165","44996","61515","58921","49617","44034","40675","28152","23485","21702","19956","17208","13321","10028","5482","2505","545123"
"39","Vancouver","1997","T","5825","20697","23828","25028","29914","45369","62259","59407","50450","44598","41659","30427","23689","21654","19979","17003","13887","10172","5761","2734","554340"
"39","Vancouver","1998","T","5407","21015","23891","24898","30413","45213","62468","60151","52876","45743","42526","33029","24351","22054","18937","16176","13268","9477","5649","2726","560268"
"39","Vancouver","1999","T","5349","20794","23768","25196","30004","45738","61496","60137","54444","46257","42675","35190","24894","21941","19682","16609","13961","9543","5945","2932","566555"
"39","Vancouver","2000","T","5368","20234","24254","25208","29704","45913","60376","60622","55696","47107","43212","37514","25255","21836","19884","17212","14162","9758","6243","3061","572619"
"39","Vancouver","2001","T","5379","19406","24487","25490","30024","46451","60211","61885","56225","48354","43733","39811","26236","21859","19935","17823","14395","10054","6257","3115","581130"
"39","Vancouver","2002","T","5449","19847","25114","25993","31348","46095","57869","61487","56337","49257","44391","40731","28658","22207","19553","18077","14442","10550","6303","3304","587012"
