Characteristic	Total		1941 CT	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38																																								
			1961 CT	1	2	3	4	5	6,50,7	8,9	11,12	10	18	19	17	20	15,16	21	14	22,51	13	23	37,54	39,55	36,53	35	34	31,32	33	29,30,52	28	24,25	26,27	40	41,42	43,44	45,46	47,56	48,57	49	38																																								
			1971 CT	67,68	61,62,63	60,64	65,66	59	56,57,58	53,55	51,54	52	44	43	45	42	46,47,48	41	49	39,40	50	37,38	25,26	23,24	21,22,27	28,29	20	30,31	19	32,33,34	18	35,36	16,17	8	7,9	5,6,10	4,11,12	3,13	14,15	1,2	69																																								
1941	275,353	275,353		6,339	5,023	6,822	7,545	18,074	21,813	12,486	8,928	3,578	3,242	6,794	7,892	4,267	13,621	5,609	8,494	11,613	6,239	8,903	8,183	8,311	6,729	6,304	619	11,194	1,560	13,313	4,781	5,087	7,742	2,303	8,783	5,999	6,988	5,285	3,584	1,306	636																																								
1951	344,833	344,833		5,316	5,228	6,636	6,704	12,337	19,649	14,494	13,182	6,394	4,862	7,308	8,953	5,558	14,316	6,648	7,283	13,394	6,468	9,514	10,580	10,145	9,407	9,183	1,608	14,610	3,555	17,209	8,154	12,850	12,264	3,057	11,945	11,227	13,605	9,464	7,539	4,187	2,120																																								
1956		366,102		5,958	4,771	6,701	5,967	9,085	19,149	14,961	14,115	7,473	4,456	7,475	9,193	5,480	14,271	6,815	6,128	12,925	6,831	9,551	11,252	10,087	11,288	9,534	1,671	15,098	4,935	18,645	8,730	14,804	14,123	3,492	13,106	12,956	15,409	11,838	10,431	7,398	2,999																																								
1961		382,392		6,191	6,867	6,940	5,361	8,218	19,836	15,139	14,761	7,846	4,853	7,309	9,309	5,383	14,847	6,632	4,823	14,363	7,001	10,033	11,216	10,131	9,876	9,489	1,924	15,028	5,145	18,991	9,416	16,099	15,980	3,234	13,585	15,637	16,595	13,758	13,181	7,395	3,272																																								
1966		410,375		6,911	10,773	8,637	6,407	8,065	18,516	15,686	14,867	9,224	5,244	7,359	9,094	5,257	15,075	6,710	4,097	15,596	7,554	10,692	11,442	10,154	14,134	9,712	2,163	14,911	4,964	19,442	9,414	16,576	17,372	3,740	14,736	20,605	16,747	14,501	14,951	9,047	2,979																																								
1971		426,256		8,581	11,975	10,689	6,888	6,127	19,860	17,590	15,556	9,404	4,490	7,379	9,040	5,160	16,293	6,978	3,050	16,383	9,128	11,542	11,258	9,892	13,877	9,626	2,600	15,290	4,872	19,972	9,686	17,122	17,960	3,970	14,160	21,950	16,924	15,879	15,644	9,461	3,536																																								
1976		410,849		9,010	11,157	10,719	6,056	5,441	16,288	15,853	14,545	9,029	4,468	7,028	8,202	4,861	15,228	7,151	1,839	15,198	10,722	10,580	11,005	9,460	13,706	8,821	2,404	13,974	4,568	19,708	9,394	16,599	17,808	4,923	13,554	21,174	16,921	15,390	14,911	13,154	3,512																																								
1981		415,878		9,204	10,969	10,729	6,273	6,031	17,703	16,337	14,082	9,706	5,029	6,555	7,811	4,500	14,905	6,681	4,557	14,841	11,584	11,100	10,385	9,076	13,191	8,240	2,415	13,816	4,379	20,143	9,751	16,881	18,644	4,883	12,682	20,134	17,482	15,884	14,980	14,315	3,345																																								
1986		432,385		8,926	10,777	11,264	6,330	5,665	17,808	16,667	14,312	9,953	4,715	6,824	8,344	4,796	15,641	7,008	7,580	14,961	12,812	11,356	10,748	9,338	12,715	8,367	2,523	14,193	4,219	21,243	10,452	17,617	19,756	4,810	13,118	20,822	17,739	16,306	15,125	17,555	3,606																																								
1991		473,225		9,185	11,105	11,905	6,645	8,545	19,700	17,815	14,945	10,610	5,020	7,715	8,980	5,205	16,825	7,270	9,595	16,490	14,050	12,845	11,430	10,005	13,250	8,605	2,545	15,575	4,760	23,420	11,670	18,995	22,810	5,155	14,350	22,275	20,425	18,500	16,325	18,680	4,535																																								
1996		515,400		10,073	11,597	12,384	7,930	16,364	20,225	18,914	15,543	11,058	4,921	7,963	9,272	5,713	18,297	7,787	9,960	18,022	14,579	13,398	12,062	10,486	13,757	8,915	2,544	16,534	5,175	24,976	12,126	21,270	27,477	5,454	15,022	24,628	21,572	20,035	17,023	22,344	6,833																																								
2001		546,976		10,893	11,319	12,652	10,253	24,974	20,213	19,347	15,826	11,922	4,753	7,923	10,058	5,881	18,969	9,995	11,160	18,189	14,847	13,665	12,195	10,576	13,923	9,119	2,582	16,640	5,358	26,633	12,438	21,944	30,732	5,364	15,569	25,435	22,816	21,389	18,033	23,391	7,816																																								
2006		579,412		13,076	11,623	13,294	13,382	36,598	20,146	19,029	15,896	11,999	4,715	8,275	10,143	5,900	19,250	10,909	11,807	18,084	14,065	13,054	12,127	10,484	15,522	9,193	2,561	16,550	5,265	26,259	13,253	22,587	34,579	5,664	16,323	27,440	24,060	22,688	19,135	24,477	10,831																																								
2011		605,071		13,001	11,382	13,267	14,584	46,999	20,010	19,158	16,217	12,218	4,527	8,276	10,244	6,118	19,817	11,355	13,967	19,381	13,935	13,965	12,326	10,305	15,304	9,628	2,726	16,946	4,848	28,119	13,989	23,101	35,777	5,856	16,346	27,156	24,692	23,317	20,584	25,630	12,777																																								
2016		633,138		13,630	12,515	13,768	15,786	53,525	20,952	19,844	16,602	12,384	4,700	8,373	10,673	6,482	20,854	11,861	19,823	20,397	15,465	14,457	12,095	10,014	14,607	9,861	2,700	17,673	4,882	29,936	13,891	23,662	36,447	5,852	16,098	27,327	25,294	23,428	20,795	26,485	15,890																																								
																																																																																	
																																																																																	
																																																																																	
				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	(UEA) 69									
1966	410,375	410,375		167	8,880	5,290	6,252	5,649	7,571	7,593	3,740	7,143	7,385	3,929	6,566	9,211	5,840	9,111	8,627	8,745	9,414	4,964	2,163	5,042	3,046	4,180	5,974	6,744	4,698	6,046	4,010	5,702	5,716	9,195	5,628	5,856	7,958	7,188	9,388	7,460	3,232	8,098	7,498	6,710	5,257	7,359	5,244	9,094	3,935	6,298	4,842	4,097	7,554	6,476	9,224	8,669	8,391	7,017	7,435	7,551	3,530	8,065	4,948	4,802	3,028	2,943	3,689	5,008	1,399	2,857	4,054	2,979									
1971	426,256	426,256		79	9,382	5,522	6,414	5,995	7,393	7,310	3,970	6,850	8,562	3,966	6,544	10,357	5,966	9,678	9,103	8,857	9,686	4,872	2,600	4,880	2,843	4,065	5,827	6,675	4,583	6,154	3,983	5,643	5,927	9,363	5,771	5,693	8,508	7,495	9,627	7,700	3,842	8,088	8,295	6,978	5,160	7,379	4,490	9,040	4,273	7,352	4,668	3,050	9,128	6,790	9,404	8,879	8,766	8,711	8,332	8,814	2,714	6,127	6,683	4,923	3,653	3,399	4,006	5,671	1,217	3,770	4,811	3,536									
1976				4,788	8,366	5,235	6,753	5,355	7,471	7,104	4,923	6,450	8,348	3,895	6,273	10,155	5,885	9,026	9,357	8,451	9,394	4,568	2,404	4,656	2,716	3,957	5,503	6,660	4,345	6,334	3,596	5,225	5,547	8,427	5,476	5,620	8,612	7,396	9,203	7,143	3,437	7,431	7,767	7,151	4,861	7,028	4,468	8,202	4,204	6,787	4,237	1,839	10,722	6,582	9,029	8,186	7,963	7,667	6,472	7,634	2,182	5,441	6,883	4,482	3,487	3,188	3,836	5,145	911	4,406	4,604	3,512									
