"",,,,,,,,,,,,5 Yr,10 Yr
Municipality,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average,Average
Anmore,0,0,0,0,0,6,1,5,4,0,2,2,2
Belcarra,4,0,0,1,4,1,2,1,1,1,4,2,2
Bowen Island,2,1,5,2,0,0,1,3,4,7,4,4,3
Burnaby,325,295,205,341,390,434,419,556,481,781,525,552,443
Coquitlam,90,90,51,77,105,154,111,45,113,60,102,86,91
Delta,55,67,73,53,63,94,97,99,131,161,175,133,101
"UBC, UEL",0,0,0,0,0,0,0,0,0,0,0,0,0
Langley City,7,13,5,12,10,3,12,10,16,61,36,27,18
Langley Township,78,109,71,59,79,83,73,79,115,125,129,104,92
Lions Bay,0,1,1,0,0,0,0,0,0,0,0,0,0
Maple Ridge,49,54,91,24,59,60,41,44,62,131,61,68,63
New Westminster,46,29,28,43,101,106,46,70,68,57,54,59,60
North Vancouver City,45,45,68,63,55,112,35,58,84,69,154,80,74
North Vancouver District,93,70,69,84,74,109,127,152,154,165,111,142,112
Pitt Meadows,11,10,3,5,8,6,8,8,2,14,10,8,7
Port Coquitlam,39,41,13,48,24,27,26,38,35,31,45,35,33
Port Moody,1,0,6,1,4,3,5,8,12,18,15,12,7
Richmond,309,309,234,294,86,184,60,203,450,509,388,322,272
Surrey,674,393,256,390,475,453,432,464,506,604,637,529,461
Vancouver,836,758,897,826,954,"1,034",606,813,"1,030",886,"1,291",925,910
West Vancouver,164,86,47,83,97,116,121,99,124,165,101,122,104
White Rock,0,16,25,34,38,29,52,68,52,49,60,56,42
Metro Vancouver,"2,828","2,387","2,148","2,440","2,626","3,014","2,275","2,823","3,444","3,894","3,904","3,268","2,896"
