"",,,,,,,,,,,,5 Yr,10 Yr
Municipality,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average,Average
Anmore,0,0,0,0,0,0,0,0,0,0,0,0,0
Belcarra,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowen Island,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnaby,20,0,11,10,0,52,111,137,60,377,165,170,92
Coquitlam,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta,0,2,2,0,0,0,0,0,0,1,0,0,1
"UBC, UEL",0,0,0,0,0,0,0,0,0,0,0,0,0
Langley City,0,0,0,0,0,0,0,0,0,45,2,9,5
Langley Township,0,0,4,2,2,0,2,4,2,4,2,3,2
Lions Bay,0,0,0,0,0,0,0,0,0,0,0,0,0
Maple Ridge,0,0,52,0,2,0,0,0,0,54,0,11,11
New Westminster,0,0,0,2,55,58,0,29,5,0,0,7,15
North Vancouver City,0,0,48,24,4,66,0,0,31,13,16,12,20
North Vancouver District,0,0,0,0,0,0,0,0,2,2,0,1,0
Pitt Meadows,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Coquitlam,0,8,0,12,0,0,0,0,0,1,0,0,2
Port Moody,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond,0,0,0,6,4,0,0,0,6,0,0,1,2
Surrey,0,0,0,0,0,0,0,0,0,1,1,0,0
Vancouver,74,98,382,38,22,134,76,58,61,123,638,191,163
West Vancouver,0,0,0,0,0,0,0,0,0,2,0,0,0
White Rock,0,0,0,2,0,0,3,0,0,0,2,1,1
Metro Vancouver,94,108,499,96,89,310,192,229,168,623,826,539,314
