"",,,,,,,,,,,,5 Yr,10 Yr
Municipality,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average,Average
Anmore,0,0,0,0,0,6,1,5,4,0,2,2,2
Belcarra,4,0,0,1,4,1,2,1,1,1,4,2,2
Bowen Island,3,5,5,2,0,0,1,3,4,7,4,4,n/a
Burnaby,305,295,194,331,390,382,308,419,421,404,360,382,350
Coquitlam,90,90,51,77,105,154,111,45,113,60,102,86,91
Delta,55,65,71,53,63,94,97,99,131,160,175,132,101
"UBC, UEL",0,0,0,0,0,0,0,0,0,0,0,0,0
Langley City,7,13,5,12,10,3,12,10,16,16,34,18,13
Langley Township,78,109,67,57,77,83,71,75,113,121,127,101,90
Lions Bay,0,1,1,0,0,0,0,0,0,0,0,0,0
Maple Ridge,49,54,39,24,57,60,41,44,62,77,61,57,52
New Westminster,46,29,28,41,46,48,46,41,63,57,54,52,45
North Vancouver City,45,45,20,39,51,46,35,58,53,56,138,68,54
North Vancouver District,93,70,69,84,74,109,127,152,152,163,111,141,111
Pitt Meadows,11,10,3,5,8,6,8,8,2,14,10,8,7
Port Coquitlam,39,33,13,36,24,27,26,38,35,30,45,35,31
Port Moody,1,0,6,1,4,3,5,8,12,18,15,12,7
Richmond,309,309,234,288,82,184,60,203,444,509,388,321,270
Surrey,674,393,256,390,475,453,432,464,506,603,636,528,461
Vancouver,762,660,515,788,932,900,530,755,969,763,653,734,747
West Vancouver,164,86,47,83,97,116,121,99,124,163,101,122,104
White Rock,0,16,25,32,38,29,49,68,52,49,58,55,42
Metro Vancouver,"2,734","2,279","1,649","2,344","2,537","2,704","2,083","2,594","3,276","3,271","3,078","2,860","2,582"
