NAME,15 years,16 years,17 years,18 years,19 years,dwellings,block_area,households,population,0 to 4 years,5 to 9 years,10 to 14 years
International Village Elem.,88.64964078707837,56.71958383219052,94.54882847988749,155.74668070757636,305.44119234996566,22404,3.5512944144727387,19456,35209,1002.8356318380384,407.78766766263465,305.9289646068542
Strathcona Elem.,75.35849056603774,65.17924528301887,79.67168606962471,84.25351012662256,75.7724879277834,6181,2.8594514956247234,5657,12686,373.45898498308424,330.42512307744084,360.70452320465483
MacDonald Elem.,26.73348332494474,27.21724008745216,47.88911057640211,27.048554196735594,30.851980462591804,2992,1.3837873477798464,2644,5121,195.56711797517463,150.56031684475622,126.04646923753032
False Creek Elem.,49.4558588732594,59.637961979405816,54.52712037338298,61.39134540930399,90.60470896109302,7251,1.7410956693601638,6866,12126,570.0817687288499,343.84904214130376,293.17415141433594
Carr Elem.,83.73168868604702,83.22642077415017,86.06384201166884,93.78983562615207,86.88785086391293,7684,2.4809452180147495,7273,14107,615.7092307910666,441.1374882367064,402.3964010459186
Queen Mary Elem.,92.9512197998973,91.95044033559523,127.29398291466391,110.96044395615671,106.73648155958303,3742,7.641686675763122,3349,8115,291.88898749944184,414.43088457851786,475.95058209298253
Kitchener Elem.,136.02218009209057,125.33859553974271,151.0590830686471,125.87294531705837,122.99736755931033,3302,2.1369215223356934,3063,8806,389.76738436820455,574.9045644634045,611.8634233849585
Kerrisdale Elem.,155.59941700756556,197.64292155568629,195.4619526660864,201.0279543697566,213.09870974684452,4520,6.371220228803901,4203,11963,457.5016838661402,638.9472280486099,751.8403812289478
Weir Elem.,142.86877299611376,150.67543806372151,124.52275947817155,152.68190697308987,144.04652591677495,3105,1.7590545019183867,2931,9295,392.9584242099416,473.1562420666339,528.0767850312026
Shaughnessy Elem.,157.05832264403932,182.0469483943359,165.58419074345372,146.84834858746555,117.5897949186102,7623,4.073674711155073,7103,15099,517.3835291313543,527.7345789185983,643.8256774717905
Hudson Elem.,70.83550649444894,103.69810446050151,73.3495054940893,131.22074151663384,173.64526649850328,17537,3.253754309513488,16522,26311,822.7735804866469,394.81723830643784,365.41807225502316
Nelson Elem.,106.30706571824604,130.00656661322597,94.48237710994286,128.37750899524647,104.54903817790603,5253,1.9984266931724213,4793,12139,602.7092014079068,553.7404604343133,512.1845191448829
Jamieson Elem.,104.62845781692337,109.47588666884795,114.2570356846216,135.97105630458572,131.47504988525307,3805,3.2908902891168945,3562,9050,240.6593935591195,310.5115117268843,375.889512921637
Roberts Elem.,133.30101830387252,159.80050556568978,168.98457974186724,267.4421739360265,413.82731267967665,39351,4.905975729848181,35245,55485,1444.2662009806545,733.7285277582108,493.22749155619965
Secord Elem.,85.27215463748574,85.27981696581482,67.46058642557253,78.80075588703548,65.26432137205535,3131,1.6064100687329845,3025,7694,368.30232582473604,341.08993049228155,359.25997269701844
Moberly Elem.,183.0766765881093,199.96367995421997,196.3506919897307,198.37365875187783,162.84416365781976,3850,4.441686252818828,3550,12637,800.3671102134921,727.9837789912746,861.4221572338233
University Hill Elem.,291.27486012692066,268.18263749615943,262.59828348779536,366.10678403950783,425.55320829719955,7105,18.00036727913464,6172,15892,1045.6159593993807,981.5864383512389,1168.5169551761699
Selkirk Elem.,221.7899638376653,200.65761630978355,176.70343219459355,193.91101059551008,178.08807832174082,5537,2.2020220079866197,5148,14868,911.1878445598564,780.1078685073459,881.0986941730197
Laurier Elem.,137.07635821849405,136.34515875393726,163.67458573521438,158.3878477444978,168.8985344149422,4100,2.8509507838203296,3950,10061,375.28325544833274,403.7152663780567,518.9538894527409
Dickens Elem.,106.59432618032208,113.28358755055096,87.27617986508488,64.5302129005708,103.7753016562393,3524,1.3665740749512307,3318,9019,608.8837772190112,475.85198322841626,454.19030499828847
Cook Elem.,183.07757244671538,177.1354963310991,185.87553251648947,201.83045601917888,160.0564652833255,4504,4.203172159019865,4362,12696,630.1139493697028,604.651973802006,734.7556430381242
Douglas Elem.,130.78647439245455,127.28794010259566,129.28520552378433,135.86513533341093,136.2958389339655,2828,1.8542730507431262,2587,9067,384.477950729538,360.51804092391984,505.9949958011874
Stanley Park,4.421702420603987,2.4556830031282586,1.9660194174757282,0.0,4.911366006256517,585,4.114162782348405,526,795,25.053858691800723,11.788751429988762,4.911366006256517
Oppenheimer Elem.,137.06512397466506,94.91056805541994,142.93406266705455,124.39616728627763,139.99576523688376,4290,4.350267551999541,4117,11364,527.9008850930164,531.1442746612913,550.3454971098838
Fraser Elem.,77.61193660826976,53.53313483213159,77.10071956954444,82.21104414394547,105.25370333424743,9121,2.673636234030494,8210,15049,823.5800420139691,474.42856261074854,392.91549672782736
Bayview Elem.,72.66041711252932,65.57613212866333,72.93680393542476,82.32887767249328,96.90260373894698,5557,1.7041047425959543,5078,10311,475.82330352202194,411.21724757974334,385.6456778642366
Maquinna Elem.,96.6727292984003,95.78087045486136,100.26591890010457,108.38214932002396,117.6033478318617,3095,1.9006167790450323,2950,8700,373.5527247962609,401.6172831916998,460.1283417709888
Tecumseh Elem.,158.62392846771326,214.32245869921124,183.72688907259388,186.42372905118057,182.84610503173573,4978,1.94090900802362,4545,14112,640.7212711508867,674.4010750547869,801.8121714737799
Grandview Elem.,77.48551256744466,66.572439259222,56.58107102344509,62.50936631945463,57.28238526799129,5632,2.419904921469304,5147,9821,414.08648122647986,319.73043642571224,282.8230296333382
Carnarvon Elem.,91.18453435624754,116.35111698569911,118.11141869868608,136.03011990488312,122.34636782317153,4060,1.9556693270140915,3770,9748,536.4715543590572,468.2774501510542,468.8917700466423
Southlands Elem.,121.54482460178491,110.77801499163827,131.69977202239824,156.07067223236382,125.32288794168022,3156,13.77947727061111,2948,8553,371.8980562049807,500.7365188151295,614.7986882859011
Grenfell Elem.,139.24354737152734,132.18352283570152,154.17009580840983,157.1024842700296,202.2216927838528,4642,1.4951714447452433,4407,12127,568.1405940460158,505.4224816615777,618.2479434775931
Nootka Elem.,92.86522205198672,93.9917437680918,87.69239392708865,101.04856175875908,79.93007508041121,2623,1.5265543157808317,2421,7217,313.4077859615457,296.7789359683252,343.8975720482339
Cunningham Elem.,138.53564631453239,141.25378396258395,173.0396005611479,146.94485524549486,153.2374111151427,4019,1.6390088747775844,3679,11379,508.4814923407854,505.8511335970319,590.1048082985639
Nightingale Elem.,70.15686921248938,78.54426035681118,43.29864690094273,54.759422534715675,60.861595282625316,5257,1.1302892322414901,4956,10002,532.1811843374174,336.5527961840241,316.7220572058148
Sexsmith Elem.,107.7451512953193,128.16612073852747,111.45186140427796,118.49764975346056,101.37698621018562,2907,3.53743218548207,2725,7932,308.4654273714758,343.3354786812724,424.4887754988387
Seymour Elem.,40.526507851987084,40.933253883733116,36.3439681694474,55.261527612280666,51.23525103889911,2647,2.8970876295379133,2327,4942,182.4853896377173,164.99199093385363,186.97272551018702
Queen Elizabeth Elem.,158.25159760643743,182.67675236949196,213.20435245969156,186.35948066090498,153.73739339446934,4669,8.148683661218275,4279,11751,507.0731627066375,722.8504254870546,796.9030209223113
Hastings Elem.,99.30182293804644,107.12924012218721,112.34437966923839,65.98092416596634,100.06476244942826,6358,3.2516623321799356,5843,12000,569.8413955409627,478.75985527921586,435.200238066557
Thunderbird Elem.,53.34915440164684,59.697005302171135,80.07048111609588,39.614584769391456,62.30852035986075,1728,2.4659423179616837,1578,4522,211.09116099318615,253.8849676643667,311.4756724441818
Livingstone Elem.,87.25613941358681,64.70957258052567,68.42111396897135,69.65757581706838,62.04254216391593,3072,1.1158550005861267,2886,7747,485.75559877682025,376.260083694344,313.30980403178796
Maple Grove Elem.,193.96760461473653,168.93341829243738,193.62488318834943,176.99374194922413,198.22298698202093,5150,3.2530203546593794,4879,11884,397.779308175645,570.5822854426603,683.4046899123165
Gordon Elem.,80.72039407717529,105.1307860696484,88.94207832243922,143.7831312562665,117.30089954900754,9771,2.083320045674228,9145,17055,747.8326986685489,489.81972926717765,438.5450407279771
McKechnie Elem.,90.82607920449834,88.42234643506757,77.39446708309363,119.14595259842612,97.96313773727138,2254,4.935441184456147,2141,6222,244.82724717070855,332.5521101226611,348.9771924262954
Mount Pleasant Elem.,34.52898643579422,38.390846945947395,19.883956099824193,24.216060185084174,43.28038095520887,5363,2.0849260473951823,5069,8204,328.485399930103,192.3393688397834,172.8350674180339
