Average Rents($) of Vacant and Occupied Units by Zone and Bedroom Type,,,,,,,,,,,,,,,,,,,,,,,,,,
"Privately Initiated Apartments, 3 Units and Over",,,,,,,,,,,,,,,,,,,,,,,,,,
Census Metropolitan Areas,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Y/N: Are the average rents of vacant units statistically higher than the occupied units?,,,,,,,,,,,,,,,,,,,,,,,,,,
95% of Confidence Level is used for the test.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bachelor,,,,,1 Bedroom,,,,,2 Bedroom,,,,,3 Bedroom +,,,,,Total,,,,
Zone,Year,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N
Zone 01 - Abbotsford,2019,**,,762,a,**,"1,086",a,939,a,Y,"1,340",a,"1,162",a,Y,**,,"1,475",a,**,"1,277",a,"1,047",a,Y
Zone 02 - Mission,2019,**,,**,,**,**,,790,b,**,**,,870,a,**,**,,**,,**,**,,833,a,**
Abbotsford - Mission CMA,2019,**,,758,a,**,"1,086",a,928,a,Y,"1,328",a,"1,134",a,Y,**,,"1,475",a,**,"1,270",a,"1,029",a,Y
Zone 01 - Barrie,2019,**,,872,b,**,"1,382",b,"1,153",a,Y,"1,520",b,"1,330",a,Y,"1,539",b,"1,733",c,N,"1,441",b,"1,288",a,Y
Barrie CMA,2019,**,,872,b,**,"1,382",b,"1,153",a,Y,"1,520",b,"1,330",a,Y,"1,539",b,"1,733",c,N,"1,441",b,"1,288",a,Y
Zone 01 - City of Belleville,2019,**,,846,b,**,"1,149",b,"1,013",a,Y,"1,237",b,"1,157",a,Y,**,,"1,355",b,**,"1,186",b,"1,112",a,Y
Zone 02 - City of Quinte West,2019,**,,**,,**,968,b,818,a,Y,"1,177",b,988,a,Y,**,,"1,033",d,**,"1,110",b,945,a,Y
Belleville CMA,2019,**,,821,b,**,"1,096",b,969,a,Y,"1,210",a,"1,102",a,Y,**,,"1,320",b,**,"1,157",a,"1,065",a,Y
Zone 01 - Brantford,2019,**,,744,b,**,"1,050",b,969,a,Y,"1,090",b,"1,036",a,Y,**,,"1,115",b,**,"1,069",b,"1,016",a,Y
Brantford CMA,2019,**,,744,b,**,"1,050",b,969,a,Y,"1,090",b,"1,036",a,Y,**,,"1,115",b,**,"1,069",b,"1,016",a,Y
Zone 01 - Downtown,2019,878,a,958,a,N,"1,078",a,"1,065",a,Y,"1,480",a,"1,376",a,Y,**,,"1,523",a,**,"1,232",a,"1,163",a,Y
Zone 02 - Beltline,2019,"1,082",b,910,a,Y,"1,154",a,"1,122",a,Y,"1,582",a,"1,425",a,Y,**,,"1,953",b,**,"1,330",a,"1,222",a,Y
Zone 03 - North Hill,2019,**,,867,b,**,886,a,941,a,N,"1,123",b,"1,188",a,N,"1,210",b,"1,570",d,N,995,a,"1,062",a,N
Zone 04 - Southwest,2019,**,,819,a,**,"1,072",b,"1,084",a,N,"1,192",a,"1,259",a,N,998,b,"1,197",b,N,"1,115",a,"1,161",a,N
Zone 05 - Southeast,2019,**,,995,d,**,"1,169",a,"1,142",a,Y,"1,272",b,"1,321",a,N,"1,056",a,"1,046",a,N,"1,197",a,"1,214",a,N
Zone 06 - Northwest,2019,**,,827,a,**,"1,112",a,"1,096",a,Y,"1,196",a,"1,252",a,N,"1,121",c,"1,220",b,N,"1,152",a,"1,179",a,N
Zone 07 - Northeast,2019,**,,**,,**,"1,204",a,"1,095",a,Y,"1,338",a,"1,290",a,Y,"1,289",b,"1,287",a,N,"1,294",a,"1,230",a,Y
Zone 08 - Chinook,2019,**,,872,a,**,976,a,994,a,N,"1,201",a,"1,212",a,N,**,,"1,252",a,**,"1,070",a,"1,094",a,N
Zone 09 - Fish Creek,2019,**,,914,a,**,"1,200",a,"1,079",a,Y,"1,273",a,"1,243",a,Y,**,,"1,257",a,**,"1,250",a,"1,186",a,Y
Zone 10 - Other Centres,2019,**,,710,a,**,"1,082",a,"1,097",a,N,"1,298",a,"1,313",a,N,**,,"1,175",a,**,"1,238",a,"1,229",a,Y
Calgary CMA,2019,952,b,898,a,Y,"1,097",a,"1,079",a,Y,"1,323",a,"1,304",a,Y,"1,127",a,"1,262",a,N,"1,207",a,"1,180",a,Y
Zone 01 - North Sector,2019,**,,426,c,**,**,,463,b,**,567,b,557,a,N,**,,632,a,**,530,c,557,a,N
Zone 02 - Chicoutimi-Sud,2019,**,,484,b,**,465,d,480,a,N,555,b,708,b,N,**,,788,b,**,533,b,644,a,N
Zone 03 - Jonquière,2019,**,,448,c,**,480,b,502,a,N,**,,635,a,**,**,,737,b,**,572,d,614,a,N
Zone 04 - La Baie,2019,**,,**,,**,526,c,465,a,Y,**,,539,b,**,511,a,553,a,N,565,d,525,a,Y
Saguenay CMA,2019,510,d,463,b,Y,478,b,485,a,N,603,c,651,a,N,555,b,706,a,N,560,b,613,a,N
Zone 01 - Downtown,2019,930,a,919,a,Y,"1,148",a,"1,095",a,Y,"1,491",a,"1,405",a,Y,"1,616",c,"1,567",a,N,"1,271",a,"1,175",a,Y
Zone 02 - Hudson's Bay Reserve,2019,722,a,741,a,N,909,a,902,a,Y,"1,144",a,"1,134",a,Y,"1,162",b,"1,162",a,N,970,a,965,a,Y
Zone 03 - University,2019,880,b,974,a,N,"1,020",a,"1,068",a,N,"1,303",a,"1,404",a,N,"1,406",d,"1,438",b,N,"1,127",a,"1,159",a,N
Zone 04 - West Central,2019,688,a,755,a,N,879,a,910,a,N,"1,065",a,"1,083",a,N,**,,"1,434",a,**,976,a,981,a,N
Zone 05 - Jasper Place,2019,771,a,780,a,N,906,a,919,a,N,"1,033",a,"1,093",a,N,"1,250",b,"1,242",a,N,978,a,"1,020",a,N
Zone 06 - West Jasper Place,2019,865,a,897,a,N,"1,059",a,"1,086",a,N,"1,274",a,"1,309",a,N,"1,455",a,"1,443",a,Y,"1,197",a,"1,228",a,N
Zone 07 - South West,2019,919,a,946,a,N,"1,094",a,"1,117",a,N,"1,323",a,"1,304",a,Y,"1,495",a,"1,478",a,Y,"1,238",a,"1,248",a,N
Zone 08 - East Central,2019,**,,898,a,**,940,a,956,a,N,"1,080",a,"1,132",a,N,**,,"1,303",b,**,"1,029",a,"1,041",a,N
Zone 09 - Millwoods,2019,**,,887,a,**,"1,087",a,"1,064",a,Y,"1,371",a,"1,266",a,Y,**,,"1,459",a,**,"1,340",a,"1,228",a,Y
Zone 10 - North Central,2019,700,a,733,a,N,867,a,879,a,N,"1,006",a,"1,024",a,N,"1,188",b,"1,221",a,N,903,a,924,a,N
Zone 11 - North East,2019,**,,898,a,**,999,a,"1,017",a,N,"1,158",a,"1,212",a,N,"1,466",a,"1,385",a,Y,"1,115",a,"1,160",a,N
Zone 12 - Castledown,2019,**,,937,b,**,"1,129",a,"1,090",a,Y,"1,312",a,"1,312",a,N,**,,"1,451",a,**,"1,270",a,"1,258",a,Y
