Tier,Rank,School Name,Approximate #s of students,enrolment,school
Beyond Tier,86,Bayview Community Elementary,1,318,Bayview Elem.
Tier 3,11,Lord Beaconsfield Elementary,37,219,Beaconsfield Elem.
Beyond Tier,45,Sir Matthew Begbie Elementary,10,317,Begbie Elem.
Tier 1,2,Britannia Community Elementary,84,194,Britannia Elem.
Beyond Tier,41,General Brock Elementary,11,219,Brock Elem.
Beyond Tier,25,Graham Bruce Community Elementary,19,214,Bruce Elem.
Beyond Tier,19,Sir Guy Carleton Community Elementary,26,304,Carleton Elem.
Beyond Tier,79,Carnarvon Community Elementary,3,387,Carnarvon Elem.
Beyond Tier,43,Emily Carr Elementary,11,279,Carr Elem.
Beyond Tier,58,Edith Cavell Elementary,7,330,Cavell Elem.
Beyond Tier,20,Champlain Heights Community Elementary,23,249,Champlain Heights Elem.
Beyond Tier,68,Champlain Heights Annex,3,107,Champlain Heights Elem.
Tier 3,12,Captain James Cook Elementary,34,353,Cook Elem.
Beyond Tier,32,G T Cunningham Elementary,20,348,Cunningham Elem.
Beyond Tier,36,Charles Dickens Elementary,16,493,Dickens Elem.
Beyond Tier,65,Charles Dickens Annex,4,125,Dickens Elem.
Beyond Tier,33,Sir James Douglas Elementary,21,481,Douglas Elem.
Beyond Tier,52,Sir James Douglas Annex,7,200,Douglas Elem.
Beyond Tier,37,Elsie Roy Elementary,15,428,Elsie Roy Elem.
Beyond Tier,77,False Creek Elementary,3,285,False Creek Elem.
Tier 3,16,Sir Sandford Fleming Elementary,30,491,Fleming Elem.
Beyond Tier,66,Sir John Franklin Community,4,198,Franklin Elem.
Beyond Tier,64,Simon Fraser Elementary,5,281,Fraser Elem.
Beyond Tier,69,General Gordon Elementary,5,322,Gordon Elem.
Tier 1,3,Grandview Elementary,77,148,Grandview Elem.
Beyond Tier,21,Sir Wilfred Grenfell Community,27,385,Grenfell Elem.
Tier 2,8,Hastings Community Elementary,50,616,Hastings Elem.
Tier 3,15,John Henderson Elementary,32,480,Henderson Elem.
Beyond Tier,51,John Henderson Annex,4,53,Henderson Elem.
Beyond Tier,42,Henry Hudson Elementary,11,377,Hudson Elem.
Beyond Tier,55,Dr. Annie B Jamieson Elementary,8,471,Jamieson Elem.
Beyond Tier,76,Kerrisdale Elementary,4,594,Kerrisdale Elem.
Beyond Tier,91,Kerrisdale Annex,0,100,Kerrisdale Elem.
Beyond Tier,56,Sir Charles Kingsford-Smith,7,327,Kingsford-Smith Elem.
Beyond Tier,67,Lord Kitchener Elementary,6,433,Kitchener Elem.
Beyond Tier,48,Sir Wilfrid Laurier Elementary,9,289,Laurier Elem.
Beyond Tier,61,Sir Wilfrid Laurier Annex,4,44,Laurier Elem.
Beyond Tier,70,David Livingstone Elementary,4,334,Livingstone Elem.
Beyond Tier,39,David Lloyd George Elementary,15,341,Lloyd George Elem.
Beyond Tier,44,Dr A R Lord Elementary,7,146,Lord Elem.
Beyond Tier,35,Dr H N MacCorkindale Elementary,12,188,MacCorkindale Elem.
Tier 1,7,Sir William Macdonald Community,30,79,MacDonald Elem.
Beyond Tier,27,Sir Alexander Mackenzie Elementary,23,392,MacKenzie Ele.
Beyond Tier,80,Maple Grove Elementary,3,489,Maple Grove Elem.
Beyond Tier,31,Chief Maquinna Elementary,18,223,Maquinna Elem.
Beyond Tier,38,Chief Maquinna Annex,5,0,Maquinna Elem.
Beyond Tier,47,Sir Richard McBride Elementary,9,82,McBride Elem.
Beyond Tier,60,Sir Richard McBride Annex,4,321,McBride Elem.
Beyond Tier,74,Dr R E McKechnie Elementary,4,254,McKechnie Elem.
Tier 3,14,Walter Moberly Elementary,32,492,Moberly Elem.
Beyond Tier,29,Mount Pleasant Elementary,18,201,Mount Pleasant Elem.
Beyond Tier,50,Lord Nelson Elementary,9,436,Nelson Elem.
Tier 2,9,Florence Nightingale Elementary,40,222,Nightingale Elem.
Beyond Tier,34,Nootka Community Elementary,16,417,Nootka Elem.
Beyond Tier,23,John Norquay Elementary,27,611,Norquay Elem.
Beyond Tier,24,David Oppenheimer Elementary,23,348,Oppenheimer Elem.
Beyond Tier,83,Sir William Osler Elementary,2,210,Osler Elem.
Tier 1,5,Queen Alexandra Elementary,65,193,Queen Alexandra Elem.
Beyond Tier,88,Queen Elizabeth Annex,0,87,Queen Elizabeth Elem.
Beyond Tier,90,Queen Elizabeth Elementary,0,359,Queen Elizabeth Elem.
Beyond Tier,87,Queen Mary Elementary,1,312,Queen Mary Elem.
Beyond Tier,84,Quilchena Elementary,2,320,Quilchena Elem.
Beyond Tier,26,Renfrew Community Elementary,23,419,Renfrew Elem.
Tier 3,17,Lord Roberts Elementary,31,558,Roberts Elem.
Beyond Tier,57,Lord Roberts Annex,5,156,Roberts Elem.
Beyond Tier,22,Laura Secord Elementary,28,636,Secord Elem.
Tier 3,18,Lord Selkirk Elementary,32,708,Selkirk Elem.
Beyond Tier,71,Lord Selkirk Annex,3,79,Selkirk Elem.
Beyond Tier,46,J.W. Sexsmith Community Elementary,10,363,Sexsmith Elem.
Tier 1,4,Admiral Seymour Elementary,63,110,Seymour Elem.
Beyond Tier,82,Shaughnessy Elementary,2,406,Shaughnessy Elem.
Beyond Tier,78,Southlands Elementary,3,221,Southlands Elem.
Tier 1,1,Lord Strathcona Community Elementary,168,557,Strathcona Elem.
Beyond Tier,30,Tecumseh Elementary,22,446,Tecumseh Elem.
Beyond Tier,54,Tecumseh Annex,5,109,Tecumseh Elem.
Tier 1,6,Thunderbird Elementary,62,215,Thunderbird Elem.
Beyond Tier,85,Trafalgar Elementary,2,510,Trafalgar Elem.
Beyond Tier,28,Pierre Elliott Trudeau Elementary,21,259,Trudeau Elem.
Beyond Tier,72,University Hill Elementary,5,317,University Hill Elem.
Beyond Tier,92,Norma Rose Point School,0,701,University Hill Elem.
Beyond Tier,49,Sir Wm Van Horne Elementary,10,387,Van Horne Elem.
Tier 3,13,Waverley Elementary,33,397,Waverley Elem.
Beyond Tier,40,Dr George M Weir Elementary,13,448,Weir Elem.
Beyond Tier,59,General Wolfe Elementary,7,403,Wolfe Elem.
Tier 2,10,Tillicum Community Annex,28,90,
Beyond Tier,53,Queen Victoria Annex,6,141,
Beyond Tier,62,Collingwood Neighbourhood School,5,216,
Beyond Tier,63,L'Ecole Bilingue Elementary,7,511,
Beyond Tier,73,Garibaldi Annex,2,59,
Beyond Tier,75,Lord Tennyson Elementary,4,447,
Beyond Tier,81,Ecole Jules Quesnel Elementary,3,417,
